ExternalID,Customer(I),Status,Date,Item (I),Price Level,Rate(amount),Card Type,Card Holder Name,Credit Card #,Expires (MM/YYYY),Authorize Card,Address,Zip
HL_TEST_01172018.2,1683,Pending Fulfillment,1/17/2018,1011,Custom,91.01,Visa,,4012002000060010,12/2025,T,6860 Dallas Pkwy,750241234
HL_TEST_01172018.3,1683,Pending Fulfillment,1/17/2018,1012,Custom,91.02,Visa,,4012002000060010,12/2025,T,6860 Dallas Pkwy,750241234
HL_TEST_01172018.4,1683,Pending Fulfillment,1/17/2018,1010,Custom,91.03,Visa,,4012002000060010,12/2025,T,6860 Dallas Pkwy,750241234
HL_TEST_01172018.5,1683,Pending Fulfillment,1/17/2018,1010,Custom,91.05,Visa,,4012002000060010,12/2025,T,6860 Dallas Pkwy,750241234
HL_TEST_01172018.6,1683,Pending Fulfillment,1/17/2018,1010,Custom,91.06,Visa,,4012002000060010,12/2025,T,6860 Dallas Pkwy,750241234
HL_TEST_01172018.7,1683,Pending Fulfillment,1/17/2018,1010,Custom,91.07,Visa,,4012002000060010,12/2025,T,6860 Dallas Pkwy,750241234
HL_TEST_01172018.8,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.01,MasterCard,,2223000010005780,12/2019,T,6860 Dallas Pkwy,75024
HL_TEST_01172018.9,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.02,MasterCard,,2223000010005780,12/2019,T,6860 Dallas Pkwy,75024
HL_TEST_01172018.10,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.03,MasterCard,,2223000010005780,12/2019,T,6860 Dallas Pkwy,75024
HL_TEST_01172018.11,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.04,MasterCard,,2223000010005780,12/2019,T,6860 Dallas Pkwy,75024
HL_TEST_01172018.12,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.05,MasterCard,,5473500000000010,12/2025,T,6860 Dallas Pkwy,75024
HL_TEST_01172018.13,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.06,MasterCard,,5473500000000010,12/2025,T,6860 Dallas Pkwy,75024
HL_TEST_01172018.14,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.07,MasterCard,,5473500000000010,12/2025,T,6860 Dallas Pkwy,75024
HL_TEST_01172018.15,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.08,MasterCard,,5473500000000010,12/2025,T,6860 Dallas Pkwy,75024
HL_TEST_01172018.16,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.09,MasterCard,,5473500000000010,12/2025,T,6860 Dallas Pkwy,75024
HL_TEST_01172018.17,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.01,Amex,,372700699251018,12/2025,T,6860,75024
HL_TEST_01172018.18,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.02,Amex,,372700699251018,12/2025,T,6860,75024
HL_TEST_01172018.19,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.03,Amex,,372700699251018,12/2025,T,6860,75024
HL_TEST_01172018.20,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.04,Amex,,372700699251018,12/2025,T,6860,75024
HL_TEST_01172018.21,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.05,Amex,,372700699251018,12/2025,T,6860,75024
HL_TEST_01172018.22,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.06,Amex,,372700699251018,12/2025,T,6860,75024
HL_TEST_01172018.23,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.07,Amex,,372700699251018,12/2025,T,6860,75024
HL_TEST_01172018.24,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.08,Amex,,372700699251018,12/2025,T,6860,75024
HL_TEST_01172018.25,1683,Pending Fulfillment,1/17/2018,1010,Custom,90.09,Amex,,372700699251018,12/2025,T,6860,75024
HL_TEST_01172018.26,1683,Pending Fulfillment,1/17/2018,1010,Custom,91.01,Discover,,6011000990156527,12/2025,T,6860,75024
HL_TEST_01172018.27,1683,Pending Fulfillment,1/17/2018,1010,Custom,91.02,Discover,,6011000990156527,12/2025,T,6860,75024
HL_TEST_01172018.28,1683,Pending Fulfillment,1/17/2018,1010,Custom,91.03,Discover,,6011000990156527,12/2025,T,6860,75024
HL_TEST_01172018.29,1683,Pending Fulfillment,1/17/2018,1010,Custom,91.05,Discover,,6011000990156527,12/2025,T,6860,75024
HL_TEST_01172018.30,1683,Pending Fulfillment,1/17/2018,1010,Custom,91.06,Discover,,6011000990156527,12/2025,T,6860,75024
HL_TEST_01172018.31,1683,Pending Fulfillment,1/17/2018,1010,Custom,91.07,Discover,,6011000990156527,12/2025,T,6860,75024
